Code,Country,Site.ID,PrName,PrName.Base,Diversity,Product.Simple,Out.SubInd,Units,MeanT,MeanC
NN0450,Brazil,University of Vicosa,Crop Residue Incorporation,Improved Varieties-Inorganic Fertilizer-Supplemental Irrigation,NA,Common Bean,Crop Yield,kg/ha,2305,1985
NM0048,Brazil,"Ritapolis, MG",Inorganic Fertilizer,"",NA,Maize,Crop Yield,kg/ha,5290.6976744186,1410.85271317829
CJ0019,Brazil,"Federal University of Lavras (UFLA), Lavras",Supplemental Irrigation,Inorganic Fertilizer-pH Control,NA,Arabica,Crop Yield,kg/ha,3841.6,9074.4
SP0017,Brazil,"São Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, Jaboticabal, São Paulo",Deficit Irrigation,Improved Varieties-Inorganic Fertilizer-pH Control-Supplemental Irrigation,NA,Common Bean,Crop Yield,kg/ha,3404.21671671671,4068.64677177177
JO0212,Brazil,"São Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, Jaboticabal, São Paulo",Inorganic Fertilizer,Crop Rotation-pH Control-Reduced Tillage,Maize/Common Bean/Maize/Common Bean,Common Bean,Crop Yield,kg/ha,3386.625,3082.5
JO0212,Brazil,"São Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, Jaboticabal, São Paulo",Inorganic Fertilizer,Crop Rotation-pH Control-Reduced Tillage,Congo Grass-Maize/Common Bean/Congo Grass-Maize/Common Bean,Common Bean,Crop Yield,kg/ha,3203.8125,2991
JO0212,Brazil,"São Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, Jaboticabal, São Paulo",Inorganic Fertilizer,Crop Rotation-pH Control-Reduced Tillage,Congo Grass/Common Bean/Congo Grass/Common Bean,Common Bean,Crop Yield,kg/ha,3279.375,3038
AC0022,Brazil,"Embrapa
Agropecuária Oeste",Intercropping,Improved Varieties-Inorganic Fertilizer-Reduced Tillage,NA,Maize,Crop Yield,kg/ha,487000,506666.666666667
AC0023,Brazil,Dois Córregos,Multistrata Agroforestry,Improved Varieties-Inorganic Fertilizer-Organic Fertilizer-pH Control-Supplemental Irrigation,NA,Coffee,Crop Yield,kg/ha,2050.66666666667,2880
AC0037,Brazil,Dois Córregos,Multistrata Agroforestry,Improved Varieties-Inorganic Fertilizer-Supplemental Irrigation,NA,Coffee,Crop Yield,kg/ha,1807.66666666667,2958.5
DM0026,Brazil,Dois Córregos,Supplemental Irrigation,Inorganic Fertilizer-Organic Fertilizer-pH Control,NA,Macadamia,Crop Yield,kg/ha,271.2,98.2
DM0026,Brazil,Dois Córregos,Multistrata Agroforestry,Inorganic Fertilizer-Organic Fertilizer-pH Control,NA,Macadamia,Crop Yield,kg/ha,148,98.2
DM0026,Brazil,Dois Córregos,Multistrata Agroforestry,Inorganic Fertilizer-Organic Fertilizer-pH Control-Supplemental Irrigation,NA,Macadamia,Crop Yield,kg/ha,345.2,271.2
