Code,Country,Site.ID,PrName,PrName.Base,Diversity,Product.Simple,Out.SubInd,Units,MeanT,MeanC
AC0116,Mexico,"Centro de Investigaciones Agricolas del Noroeste, CIANO",Inorganic Fertilizer,Crop Residue Incorporation-Green Manure-Supplemental Irrigation,Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp.,Wheat,Crop Yield,kg/ha,6657.4572548344,4564.51612903225
AC0116,Mexico,"Centro de Investigaciones Agricolas del Noroeste, CIANO",Inorganic Fertilizer,Crop Residue Incorporation-Crop Rotation-Supplemental Irrigation,Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize,Wheat,Crop Yield,kg/ha,6434.34256427925,3672.0358327232
AC0116,Mexico,"Centro de Investigaciones Agricolas del Noroeste, CIANO",Inorganic Fertilizer,Crop Residue Incorporation-Supplemental Irrigation,Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp.,Wheat,Crop Yield,kg/ha,6467.59119686463,4327.94263318833
AC0116,Mexico,"Centro de Investigaciones Agricolas del Noroeste, CIANO",Inorganic Fertilizer,Crop Residue Incorporation-Supplemental Irrigation,Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize,Wheat,Crop Yield,kg/ha,6249.32167621344,4327.94263318833
AC0116,Mexico,"Centro de Investigaciones Agricolas del Noroeste, CIANO",Inorganic Fertilizer,Crop Residue Incorporation-Supplemental Irrigation,Wheat/Fallow/Wheat/Fallow/Wheat/Fallow/Wheat/Fallow/Wheat/Fallow/Wheat/Fallow/Wheat/Fallow/Wheat/Fallow,Wheat,Crop Yield,kg/ha,6646.71174469185,4327.94263318833
JO0084,Brazil,"Experimental Station, Embrapa Coastal Tablelands, Umbau ́ba",Harvest Method,Improved Varieties-Inorganic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,1514.41528992549,2735.66569484936
JO0084,Brazil,"Experimental Station, Embrapa Coastal Tablelands, Umbau ́ba",Intercropping,Improved Varieties-Inorganic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,1514.41528992549,2735.66569484936
NM0015,Brazil,"Luís Eduardo Magalhães, Bahia State",Intercropping,Inorganic Fertilizer-pH Control-Silvopasture,Soybean/Crotalaria ochroleuca/Maize-Ruzigrass/Cotton/Fallow/Soybean/Crotalaria ochroleuca/Maize-Ruzigrass,Maize,Crop Yield,kg/ha,7327,7244
AC0088,Brazil,Embrapa Cerrados,Intercropping,Inorganic Fertilizer-Mulch-pH Control,NA,Coffee,Crop Yield,kg/ha,3948,1590
JO0016.1,Brazil,"Sete Lagoas County, Minas Gerais",Intercropping,Improved Varieties-pH Control,NA,Maize,Crop Yield,kg/ha,4584.25,4161
