Code,Country,Site.ID,PrName,PrName.Base,Diversity,Product.Simple,Out.SubInd,Units,MeanT,MeanC
NM0076,Brazil,Jaboticabal,Intercropping,Improved Varieties-Inorganic Fertilizer-Mulch-Reduced Tillage,Pearl Millet/Fallow/Jack Bean-Rice/Common Bean,Common Bean,Crop Yield,kg/ha,2304,3052
NM0022,Brazil,"São Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, Jaboticabal, São Paulo",Intercropping,Improved Varieties-Inorganic Fertilizer-Reduced Tillage,Congo Grass-Maize/Common Bean/Congo Grass-Maize/Common Bean,Maize,Crop Yield,kg/ha,9.9,11.3
AC0132,Brazil,"Experimental Agronomic Station, Federal University of Rio Grande do Sul (UFRGS)",Intercropping,Mulch-Reduced Tillage,Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch,Maize,Crop Yield,kg/ha,5861.06346483705,2161.23499142367
AC0132,Brazil,"Experimental Agronomic Station, Federal University of Rio Grande do Sul (UFRGS)",Intercropping,Mulch-Reduced Tillage,NA,Maize,Crop Yield,kg/ha,7008.57632933104,2161.23499142367
AC0132,Brazil,"Experimental Agronomic Station, Federal University of Rio Grande do Sul (UFRGS)",Intercropping,Inorganic Fertilizer-Mulch-Reduced Tillage,Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch,Maize,Crop Yield,kg/ha,6987.99313893653,6833.6192109777
AC0148,Brazil,"Rafael Fernandes Experimental Farm, Federal Rural Semiarid University (UFERSA), Mossoro",Intercropping,Improved Varieties-Inorganic Fertilizer-Reduced Tillage,NA,Maize,Crop Yield,kg/ha,3085.1891616,2782.06013635
AC0135,Mexico,Villaflores,Intercropping,Improved Varieties,NA,Maize,Crop Yield,kg/ha,5771,4130
JO0084,Brazil,"Experimental Station, Embrapa Coastal Tablelands, Umbau ́ba",Mulch,Improved Varieties-Inorganic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,1514.41528992549,2735.66569484936
NM0052,Brazil,Sao Luis Island,Mulch,Crop Rotation-Improved Varieties-Inorganic Fertilizer-pH Control,Sunn Hemp/Maize,Maize,Crop Yield,kg/ha,3895.5,2837
NM0052,Brazil,Sao Luis Island,Mulch,Crop Rotation-Improved Varieties-Inorganic Fertilizer,Sunn Hemp/Maize,Maize,Crop Yield,kg/ha,3568.5,2238
JO0214,Brazil,Botucatu,Mulch,Improved Varieties-Inorganic Fertilizer,Brachiaria brizantha/Maize,Maize,Crop Yield,kg/ha,9487.27588201272,7594.27414690572
CJ0080,Brazil,Embrapa Soybean Experimental Station,Mulch,Inorganic Fertilizer,Soybean/Wheat/Soybean/Lupin/Maize/Black oats/Maize/Wheat/Maize/Black oats/Maize/Wheat/Maize/Black oats/Maize/Wheat/Maize/Fallow/Maize/Wheat/Maize/Black oats/Maize,Maize,Crop Yield,kg/ha,5508.88888888889,6271.11111111111
CJ0080,Brazil,Embrapa Soybean Experimental Station,Mulch,Crop Residue Incorporation-Inorganic Fertilizer,Soybean/Wheat/Soybean/Lupin/Maize/Black oats/Maize/Wheat/Maize/Black oats/Maize/Wheat/Maize/Black oats/Maize/Wheat/Maize/Fallow/Maize/Wheat/Maize/Black oats/Maize,Maize,Crop Yield,kg/ha,6330,6410
AC0167,Brazil,Ponta Grosa,Mulch,Crop Rotation-Improved Varieties-Inorganic Fertilizer-Reduced Tillage,Black oats/Maize/Black oats/Soybean/Black oats/Soybean,Maize,Crop Yield,kg/ha,9160,8750
NM0045,Brazil,Southern Brazil,Mulch,Crop Rotation-Inorganic Fertilizer,Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize,Maize,Crop Yield,kg/ha,8980,2660
